FID,Name,Cnt_NOME_TI23,Ave_OBJECTID,Sum_Area_km
-1,Paqui,2,563,147.9291054
-1,Parabubure,1,562,2079.94077
-1,Paracuhuba,1,541,9.549062223
-1,Parakana,1,386,3520.559159
-1,Paran,1,445,60.2445201
-1,Parana do Boa Boa,1,576,2545.555574
-1,Parana do Parica,1,414,83.12926371
-1,Paresi,1,612,5204.408124
-1,Parque do Araguaia,1,468,12788.4864
-1,Parque do Aripuana,1,729,15071.50104
-1,Parque do Tumucumaque,1,353,33408.28036
-1,Parque do Xingu,1,584,24815.50554
-1,Patau,1,429,6.265170052
-1,Paukalirajausu,1,696,92.98321227
-1,Paumari do Cuniua,1,343,423.2286878
-1,Paumari do Lago Manissua,1,460,227.7174695
-1,Paumari do Lago Maraha,1,420,1155.04831
-1,Paumari do Lago Parico,1,458,156.3360139
-1,Paumari do Rio Ituxi,1,416,73.8092642
-1,Peneri/Tacaquiri,1,410,1838.20585
-1,Pequizal,1,334,90.59209442
-1,Pequizal do Naruv tu,1,588,260.5415283
-1,Perigara,1,369,98.69358529
-1,Pimental,1,659,104.2821545
-1,Pimentel Barbosa,2,545,3140.784206
-1,Pinatuba,1,341,294.3291697
-1,Piraha,1,590,3394.271123
-1,Pirineus de Souza,2,564,360.702306
-1,Piripkura ( Interdilao ),1,762,2316.125208
-1,Pium,1,498,51.14765293
-1,Ponciano,1,664,105.7291144
-1,Ponta da Serra,1,499,174.9396799
-1,Pontal dos Apiak,1,751,100.3007152
-1,Ponte de Pedra,1,601,157.6019223
-1,Porquinhos,2,511.5,3758.142914
-1,Portal do Encantado,1,578,394.1072193
-1,Porto Limoeiro,1,600,51.10830715
-1,Porto Praia,1,434,48.86467941
-1,Porto RedenAao,1,702,105.8589968
-1,Poyanawa,1,545,238.547895
-1,Praia do Indio,1,725,0.317740758
-1,Praia do Mangue,1,473,0.321287645
-1,Prosperidade,1,785,57.27443112
-1,Purubor,1,678,95.66459769
-1,Raimundao,1,350,47.31857155
-1,Raposa Serra do Sol,1,571,19782.14111
-1,Recreio/Sao F3lix,1,348,2.428533841
-1,Rio Apaporis,1,524,1121.759621
-1,Rio Arraias/BR 080,1,683,96.8267602
-1,Rio BiU,1,415,11880.22968
-1,Rio Branco,1,500,2215.559126
-1,Rio Cuieras,1,672,107.9690089
-1,Rio Formoso,2,541,278.7821387
-1,Rio Greglrio,1,351,897.3514301
-1,Rio Gregmrio,1,592,1808.690162
-1,Rio Guapor,1,501,1088.752778
-1,Rio Jumas,1,555,96.03483284
-1,Rio ManicorU,1,344,190.89221
-1,Rio Mara,1,654,106.7849012
-1,Rio Mequens,1,502,1007.150429
-1,Rio Negro Ocaia,2,587,3213.438764
-1,Rio Omerl,1,575,244.2721224
-1,Rio Paru D'Este,1,354,12832.70296
-1,Rio Pindar,1,602,152.4502964
-1,Rio T,1,448,4340.293327
-1,Rio Urubu,1,554,281.789016
-1,Riozinho,1,700,105.7240543
-1,Riozinho do Alto Envira,1,579,2465.975785
-1,Rodeador,1,447,23.02531464
-1,Roosevelt,1,481,2170.710911
-1,Sagarana,1,503,170.7694443
-1,Sai-Cinza,1,489,1230.131535
-1,Sakoa/Santa Vit ria,1,711,100.232452
-1,Sangradouro/Volta Grande,2,511.5,1033.985171
-1,Santa Cruz da Nova Alianta,1,794,61.2880609
-1,Santa Inez,1,567,342.3859749
-1,Santana,1,333,331.6498147
-1,Sao Domingos - MT,2,766.5,151.6558496
-1,Sao Domingos do Jacapari e Estaoao,1,775,1382.764799
-1,Sao Francisco,1,670,106.1732418
-1,Sao Francisco do Canimari,1,632,33.96509889
-1,Sao Gabriel/Sao Salvador,1,701,106.2727602
-1,Sao Joao,1,652,107.1146313
-1,Sao Leopoldo,1,440,727.7298225
-1,Sao Luiz do TapajCs,1,658,104.4733062
-1,Sao Marcos - MT,1,618,1603.291769
-1,Sao Marcos - RR,1,621,7358.897079
-1,Sao Pedro,1,431,6.244636671
-1,Sao Pedro do Sepatini,1,526,267.9454835
-1,Sao Sebastiao,1,790,618.2695793
-1,Sao Sebastiao Meneroazinho,1,699,106.5440563
-1,Sapotal,1,569,12.76123885
-1,Sarar,1,780,622.0841584
-1,Sarau,1,441,190.232794
-1,Sepoti,1,637,2456.867479
-1,Serra da MoUa,1,504,127.0530927
-1,Serra Morena,1,389,1396.614055
-1,Seruini/Mariene,1,409,1402.90864
-1,Sete de Setembro,1,505,2343.312422
-1,Setema,1,784,492.5160311
-1,Sissa,1,752,105.8582987
-1,Soror,2,654,360.830282
-1,Sucuba,1,390,66.54741111
-1,Sururue,1,727,363.6201698
-1,Tabalascada,1,566,144.1181473
-1,Tabocal,1,776,9.185039182
-1,Tadarimana,1,391,87.2713931
-1,Taihantesu,1,392,48.72583123
-1,Tanaru ( InterdiIao ),1,758,75.40865952
-1,Tapirap,2,537.5,723.3403957
-1,Temb0,1,393,10.96181147
-1,Tenharim do Igarapx Preto,1,417,826.2962194
-1,Tenharim Marmelos,1,531,4819.232625
-1,Tenharim Marmelos (Gleba B),1,787,4633.074956
-1,Terena Gleba Iriri,1,796,291.7341289
-1,Tereza Cristina,2,709,356.7394717
-1,Terra Vermelha,2,576,1897.156676
-1,Tik0na de Feijoal,1,728,418.0324184
-1,Tikuna de Santo Antonio,1,761,10.73580939
-1,Tirecatinga,1,614,1215.282674
-1,Tor0,1,446,499.0907896
-1,Trincheira,1,542,17.67275145
-1,Trincheira Bacaja,1,583,16610.01312
-1,TrocarI,1,771,0.142590513
-1,TrocarU,1,506,219.8762128
-1,Trombetas/Mapuera,1,783,42276.57588
-1,Truaru,1,394,67.13118542
-1,Tubarao Latunde,1,507,1090.988943
-1,Tukuna Porto Espiritual,1,438,29.82780906
-1,Tukuna Umariaau,1,547,48.95402459
-1,Tumia,1,519,1203.644446
-1,Tunayana,1,757,110.701613
-1,Tupa-Supl,1,435,87.7277393
-1,Tur0/Mariquita,1,396,1.535198802
-1,Tur0/Mariquita II,1,512,6.223432685
-1,Ua6a,2,760.5,5398.715872
-1,Uati-Paran,1,537,1332.989242
-1,Ubawawe,1,563,479.4267388
-1,Uirapuru,1,611,200.3203984
-1,Umutina,1,508,254.3805721
-1,Uneiuxi,2,687,9975.572104
-1,Uru-Eu-Wau-Wau,1,589,17651.71157
-1,Urubu Branco,1,453,1588.761446
-1,Urucu/Juru,1,484,126.9781869
-1,Utaria Wyhyna/Iradu Irrna,1,769,1689.763489
-1,Utiariti,1,613,3804.873163
-1,Vale do Guapor,1,517,2233.506096
-1,Vale do Javari,1,437,84529.61008
-1,Valparaiso,1,713,99.32260508
-1,Vila Real,1,641,102.7472098
-1,Vista Alegre,1,668,105.5003422
-1,Vui-Uata-In,1,527,1236.152872
-1,Wahuri,1,782,95.39004001
-1,Waiapi,1,366,6543.621682
-1,Waimiri-Atroari,1,538,27263.92458
-1,WaiW0i,1,560,4396.728094
-1,Wawi,2,633,1506.537714
-1,XambioU,1,395,32.64767456
-1,Xerente,1,509,1580.399192
-1,Xikrin do Rio Catete,1,510,4297.625125
-1,Xipaya,1,778,1777.065084
-1,Yanomami,1,628,105031.632
-1,Zo'e,1,585,7110.537821
-1,Zor0,2,593.5,3469.839885
-1,Zuruaha,2,580,2434.775462
