OBJECTID,ID_UC0,Name,ID_WCMC2,class,type,gov_level,year_created,GID7,QUALIDAD8,ATO_LEGA9,DT_ULTIM10,CODIGO_U11,NOME_ORG12,Type,GID0,SIGLA1,OBS_AREA2,REV3,EM_REVIS4,CODAREAR5,ADR6,AREAETNO7,POPULANO8,GRUPOS9,UF10,MUNICSPI11,ETAPA12,SITUACAO13,TITULO14,DOCUMENT15,DATADOC16,EXTENSO17,TIPO18,CDOC19,FLUXO20,CODTI21,NOME_ARE22,NOME_TI23,CODAREA24,Near_OpDam_ID,NEAR_DIST_OpDam_m,NEAR_FID,NEAR_DIST
655,,,,,,,,,,,,,,0,523,TI, ,0,0,0,Itaituba,II,0,"Munduruku, Tupinambt, Cara Preta",PA,Santarum,Planejamento,Em estudo,Inclusao da terra na lista,Memorando DAF - Inclusao no BD,2/4/2004,Principal,1,XXX,10,52100,Baixo TapajAs,Baixo TapajAs,52101,3,95132.54098,28,95140.15763
656,,,,,,,,,,,,,,0,524,TI, ,0,0,0,Itaituba,XIV,0,"Munduruku, Maytapu, Cara Preta",PA,Aveiro,Planejamento,Em estudo,Inclusao da terra na lista,Memorando DAF - Inclusao no BD,2/4/2004,Principal,1,XXX,10,52300,Baixo TapajAs II,Baixo TapajAs II,52301,3,119076.5063,28,119079.2186
744,,,,,,,,,,,,,,0,618,TI, ,0,0,0,Itaituba,I,0,Munduruku e Arapiun,PA,Santarum,Planejamento,Em estudo,Memo CGID,Memorando DAF - Inclusao no BD,6/2/2008,Principal,1,XXX,10,67200,Baixo TapajAs/Arapiuns,Baixo TapajAs/Arapiuns,67201,3,104583.2528,28,104588.4195
479,,,,,,,,,,,,,,0,219,TI, ,0,0,0,Cuiab,XVII,469,Bakairi,MT,"Paranatinga, Planalto da Serra",Conclutdo,Regularizada,Certidao s/n,Registro SPU,5/18/1987,Principal,1,Reg SPU,380,5200,Bakairi,Bakairi,5201,34,122289.0093,47,88567.13038
772,,,,,,,,,,,,,,0,692,TI, ,0,0,0,Sao Gabriel da Cachoeira,XII,350,"Desana, Taridna, Tukano",AM,Sao Gabriel da Cachoeira,Registro cartorial,Homologada,Decreto de 21 de dezembro de 2009,Decreto de homologazao publicado,12/21/2009,Principal,1,Dec Hom,340,5300,Balaio,Balaio,5301,0,805160.9171,59,758356.0419
765,,,,,,,,,,,,,,0,680,TI, ,0,0,0,Rio Branco,XIV,100,Banawr,AM,"Canutama, Librea, Tapauo",Demarcaaao fbsica,Declarada,Contrato n  068/2005,Contrato para demarcaaao,9/15/2005,Principal,1,Contr Dem,270,5400,Banaw ,Banaw ,5402,45,222871.5518,19,171126.9937
474,,,,,,,,,,,,,,0,214,TI, ,0,0,0,Boa Vista,XI,548,"Makuxi, Wapixana",RR,Alto Alegre,Concluldo,Regularizada,Certidao nd  011,Registro SPU,6/3/2002,Principal,1,Reg SPU,380,5600,Barata Livramento,Barata Livramento,5601,0,595847.5677,59,480971.6719
428,,,,,,,,,,,,,,0,148,TI, ,0,0,0,Manaus,XIII,480,Kamb,AM,Tefb,Registro cartorial,Homologada,"Decreto na 303, de 29 de outubro de 1991",Decreto de homologa2ao publicado,10/29/1991,Principal,1,Dec Hom,340,5900,Barreira da Missao,Barreira da Missao,5901,0,590952.3243,19,575827.9105
735,,,,,,,,,,,,,,0,604,TI, ,0,0,0,Marab,VII,73,Amanay,PA,Paragominas,Conclumdo,Regularizada,Certidao s/n,Registro SPU,10/14/2008,Principal,1,Reg SPU,380,58800,Barreirinha,Barreirinha,58801,51,146876.9743,80,146867.5487
795,,,,,,,,,,,,,,0,731,TI, ,0,0,0,Tabatinga,XIV,0,Kokama,AM,Tonantins,Demarcanao fasica,Declarada,Contrato n  243/2007,Contrato para demarcaiao,12/31/2007,Principal,1,Contr Dem,270,52200,Barro Alto,Barro Alto,52201,45,776613.1458,19,678417.4024
