"","ID","Municipality"
"891",682," Sao F"
"892",683,"Marcel"
"893",684,"Ga"
"894",685,"Paranatinga"
"895",686,"Canarana"
"896",686," Cocalinho"
"897",686," Ribeirao Cascalheira"
"898",687,"Agua Boa"
"899",687," Campin"
"900",688,"Agua Boa"
"901",688," Campin(polis"
"902",688," Nova Xavantina"
"903",689,"Campinepolis"
"904",689," Novo Sao Joaquim"
"905",689," Santo Ant"
"906",690,"Agua Boa"
"907",690," Cocalinho"
"908",690," Nova Nazaro"
"909",691,"General Carneiro"
"910",691," Novo Sao Joaquim"
"911",691," Poxor"
"912",692,"Santo Antonio do Leverger"
"913",693,"Diamantino"
"914",693," Nortelandia"
"915",694,"Brasnorte"
"916",695,"Tangar"
"917",696,"Nova Lacerda"
"918",696," Vila Bela da Santossima Trindade"
"919",697,"Barcelos"
"920",698,"Sao Gabriel da Cachoeira"
"921",699,"Jurum"
"922",700,"Jurum"
"923",700," Jutau"
"924",701,"Santo Ant"
"925",702,"Sao Paulo de Olivenva"
"926",703,"Boca do Acre"
"927",704,"Atalaia do Norte"
"928",705,"Benjamin Constant"
"929",706,"Candeias do Jamari"
"930",706," Porto Velho"
"931",707,"Carauari"
"932",708,"Carauari"
"933",709,"Tapauh"
"934",710,"Pauini"
"935",711,"Pauini"
"936",712,"Pauini"
"937",713,"Boca do Acre"
"938",714,"Boca do Acre"
"939",715,"Boca do Acre"
"940",716,"Boca do Acre"
"941",717,"Boca do Acre"
"942",718,"Feijn"
"943",719,"Sena Madureira"
"944",720,"Rodrigues Alves"
"945",721,"Assis Brasil"
"946",721," Sena Madureira"
"947",722,"Marechal Thaumaturgo"
"948",723,"MCncio Lima"
"949",724,"MCncio Lima"
"950",725,"Itaituba"
"951",726,"Santo Antonio do Leverger"
"952",727,"Benjamin Constant"
"953",727," Sao Paulo de Olivenoa"
"954",728,"Benjamin Constant"
"955",728," Sao Paulo de Oliven"
"956",729,"Ju"
"957",729,"na"
"958",729," Vilhena"
"959",730,"Comodoro"
"960",730," Juina"
"961",730," Sapezal"
"962",731,"Comodoro"
"963",731," Juina"
"964",731," Sapezal"
"965",732,"Ji-ParanN"
"966",733,"Careiro da Vdrzea"
"967",734,"Senador JosU Porf"
"968",735,"Paragominas"
"969",736,"Amatur"
"970",737,"CorumbG"
"971",738,"Tocantinapolis e Nazar "
"972",739,"Luciara e Santa Terezinha"
"973",740,"Luciara"
"974",741,"Vituria do Xingu"
"975",742,"Santarbm"
"976",743,"Santarmm"
"977",744,"Santarum"
"978",745,"Santa Isabel do Rio Negro"
"979",746,"Pontes e Lacerda"
"980",747,"Oiapoque"
"981",748,"Quer"
"982",749,"Oriximin"
"983",750,"Aveiro"
"984",751,"Apiaces"
"985",752,"Autazes"
"986",753,"Cotriguasu"
"987",754,"Juara"
"988",755,"Brasnorte"
"989",756,"Santa Terezinha"
"990",757,"Oriximin"
"991",758,"Chupinguaia"
"992",758," Corumbiara"
"993",758," Parecis"
"994",758," Pimenteiras do Oeste"
"995",759,"Luciara"
"996",760,"Marechal Thaumaturgo"
"997",761,"Benjamin Constant"
"998",762,"Colniza"
"999",762," Rondol ndia"
"1000",763,"Jordao"
"1001",764,"Careiro"
"1002",765,"Canutama"
"1003",765," Librea"
"1004",765," Tapauo"
"1005",766,"Floresta do Araguaia"
"1006",766," Pau d'Arco"
"1007",766," Redenoao"
"1008",767,"Lambrea"
"1009",767," Porto Velho"
"1010",768,"Lambrea"
"1011",769,"Pium"
"1012",770,"Benjamin Constant"
"1013",771,"Tucuru"
"1014",772,"Sao Gabriel da Cachoeira"
"1015",773,"Santa Maria das Barrreiras"
"1016",774,"Oiapoque"
"1017",775,"Jutam"
"1018",775," Tonantins"
"1019",776,"Careiro"
"1020",777,"Santo Antinio do Ipe"
"1021",778,"Altamira"
"1022",779,"Santo Ant"
"1023",780,"Conquista D'Oeste"
"1024",780," Nova Lacerda"
"1025",780," Vila Bela da Santassima Trindade"
"1026",781,"Formoso do Araguaia"
"1027",782,"Sandolandia"
"1028",783,"Caroebe"
"1029",783," Faro"
"1030",783," NhamundK"
"1031",783," Oriximin"
"1032",783,""
"1033",783," Sao Joao da Baliza"
"1034",783," Urucara"
"1035",784,"Borba"
"1036",784," Novo Aripuana"
"1037",785,"Tonantins"
"1038",786,"Guajaro-Mirim"
"1039",787,"Humaiti"
"1040",787," Manicoro"
"1041",788,"Belterra"
"1042",789,"Belterra"
"1043",790,"Tonantins"
"1044",791,"Lambrea"
"1045",791," Tapaua"
"1046",792,"Luciara"
"1047",792," Sao Felix do Araguaia"
"1048",793,"Luciara"
"1049",794,"Tonantins"
"1050",795,"Tonantins"
"1051",796,"Matupa"
"1052",797,"Japur "
"1053",797," Santa Isabel do Rio Negro"
