Name,OBJECTID,ID_UC,RESERVE_TYPE,CLASS,GOV_LEVEL,YEAR_CREATED,POLYGON_QUALITY,ID_TI,ADR6,POPULATION,OPDAM_ID,NEAR_DIST_OpDam_m,DAM_ID,NEAR_DIST_ALLDAMS_m,TOTAL_AREA_KM2,NEVER_FOR_KM2,DEF_AREA_KM2
Parque Natural Municipal Veredas Dos Carajps,163,3163,Park,Protection Integral,Municipal,2011,Correct,,,,5,257227.0166,4,126014.448,8.17983121,,8.179877305
Parque Natural Municipal Parque Florestal De Sinop,164,3196,Park,Protection Integral,Municipal,2014,Correct,,,,34,336260.8752,74,61693.26685,0.996331049,,0.996330734
Monumento Natural Canyons E Corredeiras Do Rio Sono,165,2792,Natural Monument,Protection Integral,Municipal,2012,Approximate,,,,28,163330.8822,12,2307.937177,13.87079958,13.8708075,
Parque Estadual De Monte Alegre,166,1032,Park,Protection Integral,State,2001,Approximate,,,,3,83020.0772,50,65343.47776,37.46025101,22.65965667,6.670352111
Parque Estadual Tucumv,167,456,Park,Protection Integral,State,2002,Correct,,,,4,210032.9226,75,84621.24361,779.1010958,1.6727582,5.850447661
Esta,168,1919,Esta,Protection Integral,State,2003,Correct,,,,4,104356.9774,29,104368.2715,53043.62244,1213.765392,54.74184598
Parque Estadual Do Bacanga,169,1882,Park,Protection Integral,State,1980,Approximate,,,,5,561754.6827,73,487143.94,26.98285037,,8.721531753
Parque Estadual Igarapes Do Juruena,170,455,Park,Protection Integral,State,2002,Correct,,,,4,128735.8218,29,128738.9022,2155.435357,13.61550225,18.8204501
Esta,171,1891,Esta,Protection Integral,State,2005,Approximate,,,,5,573786.1746,73,498139.2759,53043.62244,1213.765392,54.74184598
Parque Estadual De Oguas Quentes,172,1467,Park,Protection Integral,State,1978,Correct,,,,34,112952.6478,24,56165.24246,13.82132123,,4.855282079
Parque Estadual De Guajare-Mirim,173,765,Park,Protection Integral,State,1990,Approximate,,,,23,103126.8659,39,103121.9391,1927.598793,959.2260645,19.40844568
Parque Estadual Za Bolo Fls,174,1903,Park,Protection Integral,State,2000,Correct,,,,34,88366.88163,24,70420.20205,0.474662289,0.474662283,
Esta,175,1034,Esta,Protection Integral,State,2006,Correct,,,,46,233850.3082,11,99073.69469,53043.62244,1213.765392,54.74184598
Parque Estadual Dom Osirio Stoffel,176,460,Park,Protection Integral,State,2002,Correct,,,,19,49382.35293,36,49382.55801,58.7027942,3.964692446,16.20156812
Parque Estadual Do Araguaiaa,177,1917,Park,Protection Integral,State,2001,Correct,,,,36,244151.3337,56,244205.99,2153.743365,1876.77468,18.51421901
Reserva Biolegica Rio Ouro Preto,178,767,Biological Reserve,Protection Integral,State,1990,Approximate,,,,23,167752.6689,39,167750.0092,518.0446085,104.4357836,0.119958272
Estacaio Ecologica Serra Dos Tres Irmaos,179,768,Esta,Protection Integral,State,1990,Approximate,,,,23,11493.5923,39,11499.37715,855.411109,6.158666879,4.608943345
Estacaio Ecologica Samuel,180,764,Esta,Protection Integral,State,1989,Approximate,,,,41,26898.08142,66,26888.93817,625.9612444,,19.5698456
Parque Estadual Do Matupiri,181,1736,Park,Protection Integral,State,2009,Correct,,,,0,351446.9896,6,351442.9264,5086.342798,246.8400607,13.13332116
Parque Estadual Encontro Das Aguas,182,1916,Park,Protection Integral,State,2004,Correct,,,,19,168994.1413,36,168999.7163,985.4896278,930.4028252,3.001966071
Parque Estadual Do Xingu,183,470,Park,Protection Integral,State,2001,Correct,,,,28,437043.5026,74,323364.7707,909.587936,631.7673702,0.81885604
Parque Estadual Serra Dos Reis,184,774,Park,Protection Integral,State,1997,Approximate,,,,23,325924.8927,39,325919.9976,341.3344942,10.10679747,9.217513632
Parque Estadual Guariba,185,1004,Park,Protection Integral,State,2005,Correct,,,,4,191068.0191,75,145346.7953,685.0740472,240.9579096,0.163672242
Parque Estadual Rio Negro Setor Sul,186,1006,Park,Protection Integral,State,1995,Correct,,,,0,110568.9482,6,110571.3111,802.59067,,0.868146579
Parque Estadual Sucunduri,187,1009,Park,Protection Integral,State,2005,Correct,,,,4,164564.6551,32,146330.3138,7698.757706,105.5783847,8.066902962
Monumento Natural Morro De Santo Antenio,188,1920,Natural Monument,Protection Integral,State,2006,Correct,,,,34,103137.4986,24,80578.82667,2.370033192,2.370033203,
Parque Estadual Rio Negro Setor Norte,189,1007,Park,Protection Integral,State,1995,Correct,,,,0,194659.1286,6,194665.472,1532.254794,,7.879840009
Parque Estadual Serra Azul,190,472,Park,Protection Integral,State,1994,Correct,,,,19,302245.0611,79,105622.6353,100.9909884,100.9909846,
Parque Estadual Das Nascentes Do Rio Taquari,191,421,Park,Protection Integral,State,1999,Correct,,,,39,163059.8528,77,18096.1234,1.043913895,0.873642174,
Refugio De Vida Silvestre Metrmpole Da Amazonia,192,1881,Wildlife Refuge,Protection Integral,State,2010,Correct,,,,51,300703.6607,80,300702.2551,66.51245087,0.877472366,11.83588211
Reserva Biol Gica Culuene,193,457,Biological Reserve,Protection Integral,State,1989,Correct,,,,34,288973.5363,79,156636.6023,33.51655798,33.51655796,
Parque Estadual De Corumbiara,194,1495,Park,Protection Integral,State,1990,Approximate,,,,40,138087.5151,64,138085.2616,3933.205391,2557.169826,84.49207255
Parque Estadual Serra Santa Bvrbara,195,462,Park,Protection Integral,State,1997,Correct,,,,17,72337.66536,33,72336.74105,1104.639249,898.5424404,39.99166483
Parque Estadual Do Utinga,196,1022,Park,Protection Integral,State,1993,Correct,,,,51,297588.8381,80,297587.8176,14.59852722,0.044637891,5.705340342
Esta,197,1899,Esta,Protection Integral,State,1997,Correct,,,,4,177133.6543,75,124739.5276,53043.62244,1213.765392,54.74184598
Parque Estadual Do Araguaia,198,1744,Park,Protection Integral,State,2002,Approximate,,,,36,247712.2779,56,247776.5782,1.234028241,,
Reserva Biolsgica Morro Dos Seis Lagos,199,1011,Biological Reserve,Protection Integral,State,1990,Correct,,,,0,828256.672,59,787408.9972,409.6186762,,9.1175373
Parque Estadual Chandless,200,939,Park,Protection Integral,State,2004,Correct,,,,23,553212.5513,20,396214.0389,6612.690054,,2.761209658
Parque Estadual Da Serra Dos Marterios/Andorinhas,201,1021,Park,Protection Integral,State,1996,Correct,,,,5,104987.6399,67,14105.58558,247.0899287,226.0209526,13.73385282
Parque Estadual Do Jalapeo,202,1486,Park,Protection Integral,State,2001,Correct,,,,28,164478.5575,21,0,1510.292563,1510.292519,
Parque Estadual Do Cantoo,203,1487,Park,Protection Integral,State,1998,Correct,,,,28,174758.7837,46,174809.7693,959.8707853,75.29741071,30.75283436
Estacio Ecologica Do Rio Ronuro,204,451,Ecological Station,Protection Integral,State,1998,Correct,,,,34,236717.058,47,89752.67231,957.7403708,,33.07441753
Reserva Biolegica Tradadal,205,770,Biological Reserve,Protection Integral,State,1990,Approximate,,,,23,214996.082,39,214994.4654,236.2728245,28.41015113,4.904315217
Parque Estadual Charapucu,206,2042,Park,Protection Integral,State,2010,Correct,,,,16,135275.1345,31,135267.1729,692.3460894,,0.531627259
Parque Estadual Mne Bonifncia,207,464,Park,Protection Integral,State,2000,Correct,,,,34,84713.27271,24,72621.38864,0.709283453,0.709283459,
Parque Estadual Do Lajeado,208,1488,Park,Protection Integral,State,2001,Correct,,,,28,29684.25335,46,29706.71417,102.3537971,102.3537974,
Reserva Biolegica De Maicuru,209,1033,Biological Reserve,Protection Integral,State,2006,Correct,,,,46,159690.1439,45,112094.3883,12658.04737,5.453690496,67.57561263
Parque Estadual Do Guirm,210,477,Park,Protection Integral,State,2002,Correct,,,,20,209897.1245,38,209888.7091,953.6971498,750.0207172,
Parque Estadual Cristalino,211,1901,Park,Protection Integral,State,2000,Correct,,,,4,378463.9576,78,86285.50889,564.5994785,13.95549106,37.61325374
Ref,212,475,Wildlife Refuge,Protection Integral,State,2001,Correct,,,,36,253200.8837,56,253259.4956,333.2969781,235.1251485,2.855182294
Parque Estadual Suma Ma,213,1010,Park,Protection Integral,State,2003,Correct,,,,0,135445.4736,6,135440.9699,0.538417553,,0.538417545
Parque Estadual Serra Ricardo Franco,214,448,Park,Protection Integral,State,1997,Correct,,,,17,113512.0118,33,113522.3572,1449.558142,733.5030763,358.344624
Parque Estadual Tguas Do Cuiabm,215,454,Park,Protection Integral,State,2002,Correct,,,,34,72243.53728,48,72241.39249,101.3845649,101.3845649,
Parque Estadual Serra Do Araca,216,1008,Park,Protection Integral,State,1990,Correct,,,,0,481804.1787,59,407679.8148,20378.3695,327.4537858,87.72858608
Monumento Natural Das Orvores Fossilizadas,217,1489,Natural Monument,Protection Integral,State,2000,Correct,,,,5,93402.46508,81,75825.10344,285.0698869,285.0237171,
Reserva Particular Do Patrim Nio Natural Peugeot-Onf-Brasil,218,1923,Private Reservation of the Natural Heritage,Sustainable Use,State,2010,Correct,,,,,,,,,,
Floresta Estadual Do Araguaia,219,1754,Forest,Sustainable Use,State,2002,Correct,,,,36,247191.745,56,247256.07,0.352708759,,
Reserva De Desenvolvimento Sustenttvel Igapr-Auu,220,1732,Sustainable Development Reserve,Sustainable Use,State,2009,Correct,,,,0,327492.1015,6,327488.1987,3948.481052,,53.69491594
Floresta Estadual De Rendimento Sustentado Do Rio Machado,221,740,Forest,Sustainable Use,State,1990,Schematic,,,,41,96568.86261,75,5109.896403,1131.133876,19.62543829,15.82742689
Area De Protecao Ambiental Da Regimo Metrolpolitana De Belnm,222,1025,Enviornmental Protection Area,Sustainable Use,State,1993,Correct,,,,51,292123.2167,80,292122.2504,58.96890863,,32.69605496
Reserva De Desenvolvimento Sustentsvel Pucurui - Arario,223,1031,Sustainable Development Reserve,Sustainable Use,State,2002,Correct,,,,51,17502.2263,80,17501.10011,294.3790776,,6.561023084
Floresta Estadual De Rendimento Sustentado Periquito,224,778,Forest,Sustainable Use,State,1996,Approximate,,,,41,116540.4471,75,61582.01875,10.87804744,,8.296620249
Floresta Estadual Rio Urubu,225,1002,Forest,Sustainable Use,State,2003,Correct,,,,0,46802.39978,6,46799.65199,279.3929041,,0.143473133
Area De Protecao Ambiental Margem Direita Do Rio Negro- Setor Paduari-Solimaes,226,994,Enviornmental Protection Area,Sustainable Use,State,1995,Correct,,,,0,150986.5213,6,150982.4651,4740.615667,83.10572541,702.2872915
Area De Protecao Ambiental Do Itapiraca,227,1890,Enviornmental Protection Area,Sustainable Use,State,1997,Approximate,,,,5,574573.9856,73,499788.0748,3.658882465,,1.191575765
Area De Protecao Ambiental Lago Do Amap,228,941,Enviornmental Protection Area,Sustainable Use,State,2005,Correct,,,,23,345575.1989,20,221050.2263,49.31369271,,33.03399213
Reserva Extrativista Rio Preto-Jacund,229,777,Extractive Reserve,Sustainable Use,State,1996,Approximate,,,,41,111775.5246,75,4791.808118,974.6027763,6.449446214,27.86536156
Area De Protecao Ambiental Lago De Peixe/Angical,230,1494,Enviornmental Protection Area,Sustainable Use,State,2002,Correct,,,,36,0,56,0,705.8626993,705.8626994,
Reserva Extrativista Aquariquara,231,754,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,178907.5226,75,77661.39383,184.1072888,3.809142748,17.8853516
Reserva De Desenvolvimento Sustentavel Do Rio Madeira,232,1977,Sustainable Development Reserve,Sustainable Use,State,2006,Correct,,,,0,312069.6852,6,312063.5226,2793.707266,87.46712876,129.5226904
Floresta Estadual De Faro,233,1035,Forest,Sustainable Use,State,2006,Approximate,,,,0,185533.0114,6,185528.5585,6421.400292,53.25505878,23.21385371
Area De Protecao Ambiental Lago De Palmas,234,1497,Enviornmental Protection Area,Sustainable Use,State,1999,Correct,,,,28,29595.66497,46,29649.24285,607.6176453,596.4858689,
Area De Protecao Ambiental Jalapao,235,1499,Enviornmental Protection Area,Sustainable Use,State,2000,Correct,,,,28,180572.5549,21,23316.36207,1281.17441,1281.17445,
Area De Protecao Ambiental Nascentes Do Rio Paraguai,236,1896,Enviornmental Protection Area,Sustainable Use,State,2006,Correct,,,,34,59345.73866,48,59351.86813,654.2999695,636.9738377,13.08515027
Reserva Extrativista Ip,237,749,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,136309.375,75,57143.15707,7.848903717,,1.569745474
Reserva Extrativista Maracatiara,238,744,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,180848.5773,75,55459.18976,82.95150256,,10.75849637
Reserva De Desenvolvimento Sustentmvel Do Juma,239,1573,Sustainable Development Reserve,Sustainable Use,State,2006,Correct,,,,0,376829.9219,75,320496.2893,5749.649342,58.91669877,78.43991555
Reserva Extrativista Massaranduba,240,751,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,181070.2008,75,64644.87122,59.08902194,,5.157866689
Reserva Extrativista Mogno,241,747,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,157619.0159,75,45294.37734,23.12305564,,1.194326049
Area De Protecao Ambiental Do Salto Magessi,242,478,Enviornmental Protection Area,Sustainable Use,State,2002,Correct,,,,34,147967.6266,47,0,72.8688162,56.88168467,2.460115809
Reserva Particular Do Patrim Nio Natural Cristalino Iii,243,1924,Private Reservation of the Natural Heritage,Sustainable Use,State,2007,Correct,,,,4,392773.1575,78,96958.49596,15.46573559,2.41549953,0.207184261
Area De Protecao Ambiental Margem Esquerda Do Rio Negro-Setor Tarum  A U-Tarummirima,244,995,Enviornmental Protection Area,Sustainable Use,State,1995,Correct,,,,0,111317.1998,6,111315.0837,573.6801823,,126.7656645
Area De Protecao Ambiental Nhamundn,245,997,Enviornmental Protection Area,Sustainable Use,State,1990,Correct,,,,3,235585.5548,11,157580.9801,2079.897253,719.0618919,39.43062291
Reserva De Desenvolvimento Sustentavel Puranga Conquista,246,3182,Sustainable Development Reserve,Sustainable Use,State,2014,Correct,,,,0,123009.6384,6,123010.0102,882.3532255,,41.49809943
Floresta Estadual De Iriri,247,1036,Forest,Sustainable Use,State,2006,Approximate,,,,3,333286.117,15,221637.7579,4327.858987,,39.62881164
Floresta Estadual Canutama,248,1737,Forest,Sustainable Use,State,2009,Correct,,,,45,259802.899,19,251252.3628,1485.45492,59.96506828,4.271216807
"Area De Protecao Ambiental Lago De Sao Salvador Do Tocantins, Paran  E Palmeir)Polis",249,1492,Enviornmental Protection Area,Sustainable Use,State,2002,Correct,,,,48,0,72,0,78.83334569,78.83334959,
Area De Protecao Ambiental Bacia Do Rio De Janeiro,250,305,Enviornmental Protection Area,Sustainable Use,State,1993,Correct,,,,36,228263.7258,55,111046.4865,0.392495562,0.03046921,
Floresta Estadual De Rendimento Sustentado Araras,251,2059,Forest,Sustainable Use,State,1996,Correct,,,,41,121240.8467,75,68812.81348,10.40296759,,7.984763305
Reserva Extrativista Seringueira,252,756,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,177750.0563,75,71730.74846,4.548425847,,0.629183598
Area De Relevante Interesse Ecologico Japiim Pentecoste,253,1983,Area of Relevant Ecological Interest,Sustainable Use,State,2009,Correct,,,,23,899350.1118,20,729279.4775,249.8376391,,7.628027998
Reserva Extrativista Castanheira,254,753,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,154033.8515,75,63564.48228,92.41568194,,3.331467151
Area De Protecao Ambiental Serra Do Lajeado,255,1498,Enviornmental Protection Area,Sustainable Use,State,1997,Correct,,,,28,1072.994357,46,1025.16726,1065.735522,1065.732526,
Reserva Extrativista Canutama,256,1733,Extractive Reserve,Sustainable Use,State,2009,Correct,,,,45,202728.5847,19,178761.4802,1941.986817,7.972155911,10.78930534
Reserva Extrativista Do Rio Gregirio,257,1506,Extractive Reserve,Sustainable Use,State,2007,Schematic,,,,23,699727.6376,20,527477.4437,4143.724473,41.00235715,23.2018197
Reserva Extrativista Roxinho,258,755,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,176016.0184,75,73034.06994,9.936220294,,0.790863416
Floresta Estadual Do Amapa,259,885,Forest,Sustainable Use,State,2006,Approximate,,,,16,301.4315591,13,0,25954.79479,175.488989,261.1105787
Floresta Estadual De Rendimento Sustentado Rio Vermelho (C),260,739,Forest,Sustainable Use,State,1990,Schematic,,,,45,14775.13543,68,14785.66267,39.39432204,,11.13516573
Reserva Extrativista Guariba-Roosevelt,261,463,Extractive Reserve,Sustainable Use,State,1996,Schematic,,,,4,95838.02088,29,95852.36619,1320.871542,74.95623593,70.66089064
Area De Protecao Ambiental Das Reentr Ncias Maranhenses,262,1885,Enviornmental Protection Area,Sustainable Use,State,1991,Approximate,,,,51,478364.3594,73,451538.061,11280.7253,583.559765,6932.954046
Reserva Extrativista Jaci-Parana,263,776,Extractive Reserve,Sustainable Use,State,1996,Approximate,,,,23,34066.93548,39,34056.86697,1912.877503,,693.7840193
Floresta Estadual Maoes,264,1003,Forest,Sustainable Use,State,2003,Correct,,,,0,236275.4895,70,87431.18695,4548.077481,35.95865908,135.7176182
Area De Protecao Ambiental Do Rio Madeira,265,2065,Enviornmental Protection Area,Sustainable Use,State,1991,Correct,,,,45,0,68,0,65.11272479,1.182644547,33.51075344
Reserva Extrativista Do Guariba,266,992,Extractive Reserve,Sustainable Use,State,2005,Correct,,,,4,170620.927,29,170631.2154,1427.921209,4.771271013,1.245458959
Reserva De Desenvolvimento Sustentnvel Alcobaoa,267,1030,Sustainable Development Reserve,Sustainable Use,State,2002,Correct,,,,51,3721.737756,80,3729.918238,227.5352546,,20.11677568
Area De Protecao Ambiental Ilha Do Bananal/Cantao,268,1501,Enviornmental Protection Area,Sustainable Use,State,1997,Correct,,,,28,83605.36722,46,83607.04255,15017.97578,13174.5315,556.6723163
"Floresta Estadual De Rendimento Sustentado Do Rio Madeira """"B""""",269,758,Forest,Sustainable Use,State,1996,Approximate,,,,45,22049.20947,68,22050.34772,457.2597184,0.414640231,39.04377603
Area De Protecao Ambiental De Algodoal-Maiandeua,270,1024,Enviornmental Protection Area,Sustainable Use,State,1990,Correct,,,,51,421876.3336,80,421873.9493,24.24758189,,4.954636204
Area De Protecao Ambiental Da Chapada Dos Guimaries,271,461,Enviornmental Protection Area,Sustainable Use,State,1995,Correct,,,,34,25582.26491,24,300.8850754,2330.283307,1823.614252,315.4558717
Reserva De Desenvolvimento Sustentnvel Do Rio Negro,272,1730,Sustainable Development Reserve,Sustainable Use,State,2008,Correct,,,,0,170120.9831,6,170119.3269,1054.651413,,69.78462914
Reserva De Desenvolvimento Sustentnvel Do Uatuma,273,990,Sustainable Development Reserve,Sustainable Use,State,2004,Correct,,,,0,43476.11149,6,43465.95325,4372.592963,15.50984917,68.53644309
Area De Protecao Ambiental Foz Do Rio Santa Tereza,274,1500,Enviornmental Protection Area,Sustainable Use,State,1997,Correct,,,,36,29386.20554,56,29363.6574,471.0430801,471.0489076,
Floresta Estadual Apu,275,998,Forest,Sustainable Use,State,2005,Correct,,,,4,242043.702,32,215472.5847,1774.944437,67.86817025,6.131235715
Area De Protecao Ambiental Paytuna,276,1028,Enviornmental Protection Area,Sustainable Use,State,2001,Approximate,,,,3,65480.27641,50,54435.77523,594.4246829,202.5041871,148.996395
Reserva Extrativista Pedras Negras,277,773,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,40,229575.7873,64,229580.485,1178.959133,596.4788357,26.48562483
Area De Protecao Ambiental Do Rio Curia,278,293,Enviornmental Protection Area,Sustainable Use,State,1998,Correct,,,,16,68485.25324,31,68478.15017,233.4775747,179.0304926,16.52699308
Floresta Estadual Do Trombetas,279,1037,Forest,Sustainable Use,State,2006,Correct,,,,3,199022.3771,11,10329.86044,33409.56637,134.9149792,78.70496621
Floresta Estadual De Rendimento Sustentado Gavido,280,761,Forest,Sustainable Use,State,1996,Approximate,,,,41,121804.8694,75,53777.32691,4.15618399,,2.230940186
Reserva De Desenvolvimento Sustentmvel Canume,281,984,Sustainable Development Reserve,Sustainable Use,State,2005,Correct,,,,0,224163.3728,6,224153.4302,230.3296037,4.413474013,21.27957048
Reserva Extrativista Angelim,282,743,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,136781.2129,75,44270.5178,80.33648371,,8.910994523
Floresta Estadual De Rendimento Sustentado Tucano,283,760,Forest,Sustainable Use,State,1996,Approximate,,,,41,122485.2749,75,81778.35361,4.886531551,,1.480221107
Floresta Estadual De Tapaus,284,1731,Forest,Sustainable Use,State,2009,Correct,,,,41,198084.1124,66,198090.0286,8691.129387,146.5352599,23.46815012
Area De Protecao Ambiental Triunfo Do Xingu,285,1039,Enviornmental Protection Area,Sustainable Use,State,2006,Correct,,,,3,317758.9882,15,294143.4051,16544.35474,444.8229115,4735.428199
Reserva Extrativista Sucupira,286,752,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,151174.0263,75,52967.75778,26.98860666,,0.789131902
Area De Protecao Ambiental - Baixo Rio Branco,287,1927,Enviornmental Protection Area,Sustainable Use,State,2006,Correct,,,,0,225605.2485,59,174256.2096,16646.53185,5202.056852,61.82622896
Reserva Particular Do Patrimbnio Natural Poleiro Grande,288,2754,Private Reservation of the Natural Heritage,Sustainable Use,State,1998,Correct,,,,19,142090.143,36,142095.7984,0.957084974,,
Reserva Extrativista Catue-Ipixuna,289,991,Extractive Reserve,Sustainable Use,State,2003,Correct,,,,45,518166.8258,19,499723.4249,2149.68845,6.739486671,135.3177796
Area De Protecao Ambiental Da Regino Do Maracana,290,1893,Enviornmental Protection Area,Sustainable Use,State,1991,Approximate,,,,5,558318.0995,73,484050.6146,22.52307367,,18.8687592
Floresta Estadual De Rendimento Sustentado Mutum,291,759,Forest,Sustainable Use,State,1996,Approximate,,,,41,124661.5597,75,60550.92097,103.9098301,,67.02965323
Reserva Extrativista Freijs,292,745,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,172040.0892,75,74168.31444,6.010064472,,0.74062225
Reserva De Desenvolvimento Sustentmvel Amani,293,981,Sustainable Development Reserve,Sustainable Use,State,1998,Correct,,,,0,371083.1936,59,367935.5579,23794.8482,97.10906384,103.2884259
Area De Protecao Ambiental Da Ilha Do Combu,294,1027,Enviornmental Protection Area,Sustainable Use,State,1997,Correct,,,,51,287432.865,80,287431.8892,15.67812169,,0.044587986
Area De Protecao  Ambiental Margem Esquerda Do Rio Negro-Setor Aturi -Apuauzinho,295,996,Enviornmental Protection Area,Sustainable Use,State,1995,Correct,,,,0,74434.63459,6,74436.41939,5872.707801,,147.6599185
Reserva Extrativista Rio Cautario,296,775,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,23,277515.2442,39,277510.2783,1334.045885,293.7046445,22.81091785
Reserva De Desenvolvimento Sustentmvel Aripuant,297,982,Sustainable Development Reserve,Sustainable Use,State,2005,Correct,,,,4,150419.0527,29,150422.6144,2105.842299,0.658842025,1.478023522
Area De Protecao Ambiental Lago De Santa Isabel,298,1493,Enviornmental Protection Area,Sustainable Use,State,2002,Correct,,,,5,95764.89171,67,176.9744357,183.2596372,,122.3567742
Reserva De Desenvolvimento Sustent Vel Do Matupiri,299,1735,Sustainable Development Reserve,Sustainable Use,State,2009,Correct,,,,0,308609.5099,6,308603.4867,1772.461172,39.77832927,0.881284262
Area De Protecao Ambiental Do Rio Preto,300,1016,Enviornmental Protection Area,Sustainable Use,State,2006,Correct,,,,28,267671.818,21,95497.92237,5.433858117,3.823447504,
Reserva De Desenvolvimento Sustentivel Cujubim,301,985,Sustainable Development Reserve,Sustainable Use,State,2003,Correct,,,,23,540756.8875,20,378918.7117,24095.79895,,25.54951919
Reserva Extrativista Garrote,302,757,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,179467.7456,75,69441.71142,8.284119176,,0.216467418
Reserva Extrativista Do Itaeba,303,748,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,174311.3821,75,89607.29476,15.32062878,,0.831100541
Area De Protecao Ambiental De Upaon-Atu / Miritiba / Alto Preguiuas,304,1888,Enviornmental Protection Area,Sustainable Use,State,1992,Correct,,,,5,506540.2893,73,438772.8191,2801.339296,125.2985498,559.3635329
Reserva De Desenvolvimento Sustentnvel Uacarr,305,989,Sustainable Development Reserve,Sustainable Use,State,2005,Correct,,,,23,477236.1192,20,344472.7197,6154.297057,,49.38820704
Area De Protecao Ambiental De Sao Geraldo Do Araguaia,306,1026,Enviornmental Protection Area,Sustainable Use,State,1996,Correct,,,,5,105130.6746,67,6652.168838,263.5275906,80.07559891,138.188112
Reserva Particular Do Patrim Nio Natural Cristalino I,307,2045,Private Reservation of the Natural Heritage,Sustainable Use,State,2011,Correct,,,,4,394939.226,78,97727.1777,23.44125067,0.003852988,1.483386801
Reserva Extrativista Piquii,308,746,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,171050.5866,75,76598.53855,12.22121555,,1.289109424
Reserva De Desenvolvimento Sustentmvel Mamiraut,309,986,Sustainable Development Reserve,Sustainable Use,State,1990,Correct,,,,0,601932.3308,6,601937.5499,13616.7426,350.1032161,25.91824413
Area De Protecao Ambiental Das Nascentes De Araguaina,310,1491,Enviornmental Protection Area,Sustainable Use,State,1999,Correct,,,,5,94092.21741,4,76446.3829,152.4195807,152.4153657,
Reserva Particular Do Patriminio Natural Fazenda Loanda,311,2790,Private Reservation of the Natural Heritage,Sustainable Use,State,2011,Correct,,,,26,171804.8899,52,22625.41788,4.78704269,,0.546598603
Area De Protecao Ambiental De Presidente Figueiredo - Caverna Do Moroaga,312,993,Enviornmental Protection Area,Sustainable Use,State,1990,Correct,,,,0,0,6,0,4243.792351,,398.9048618
Area De Protecao Ambiental Das Cabeceiras Do Rio Cuiab,313,453,Enviornmental Protection Area,Sustainable Use,State,1998,Correct,,,,34,25382.73662,48,25381.59654,4373.408346,4138.415695,208.3765915
Floresta Estadual Manicore,314,1000,Forest,Sustainable Use,State,2005,Correct,,,,4,207410.8252,75,94780.25458,801.5894053,9.208848346,0.822844894
Reserva De Desenvolvimento Sustentnvel Rio Amapa,315,988,Sustainable Development Reserve,Sustainable Use,State,2005,Correct,,,,41,368305.1883,75,339637.3368,2131.265682,64.75723521,2.169200824
Reserva De Desenvolvimento Sustentnvel Piagazu Purus,316,987,Sustainable Development Reserve,Sustainable Use,State,2003,Correct,,,,0,352138.3596,6,352137.7952,8040.096159,1185.979178,33.27249365
Reserva Extrativista Jatobi,317,750,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,41,169282.447,75,88822.31082,12.78629462,1.275081577,3.494988058
Area De Protecao Ambiental Igarapi Sao Francisco,318,940,Enviornmental Protection Area,Sustainable Use,State,2005,Approximate,,,,23,341125.0885,20,214496.5713,286.2203054,,200.4247049
Area De Protecao Ambiental Do Arquipelago Do Marajo,319,1023,Enviornmental Protection Area,Sustainable Use,State,1989,Correct,,,,16,88932.19178,31,88924.33667,47612.06105,16225.68504,1750.515445
Reserva Extrativista Rio Pacafs Novos,320,772,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,23,170765.3701,39,170764.2552,3267.625547,31.90825714,19.47392052
Reserva Extrativista Curralinho,321,771,Extractive Reserve,Sustainable Use,State,1995,Approximate,,,,23,347351.6485,39,347347.8776,15.59267998,,0.691099207
Reserva De Desenvolvimento Sustentmvel Do Rio Iratapuru,322,292,Sustainable Development Reserve,Sustainable Use,State,1997,Correct,,,,46,26201.14381,7,0,9341.527997,0.076076336,12.25765362
Area De Protecao Ambiental Da Fazendinha,323,886,Enviornmental Protection Area,Sustainable Use,State,2004,Correct,,,,16,99631.79656,31,99625.05987,1.580550727,0.267341096,0.019195347
Reserva De Desenvolvimento Sustentnvel Bararati,324,983,Sustainable Development Reserve,Sustainable Use,State,2005,Correct,,,,4,267806.707,32,204059.1224,1077.779746,9.492762588,3.548975482
Floresta Estadual Do Paru,325,1038,Forest,Sustainable Use,State,2006,Correct,,,,46,30109.17653,45,19394.79478,38274.69682,1182.764103,121.8482738
